image_id,qwen7b
15,1
23,1
44,0
56,1
61,1
77,0
84,1
92,0
100,0
114,0
116,0
129,1
134,1
147,1
148,1
170,1
180,1
185,1
191,0
231,0
247,1
248,1
264,1
265,1
323,1
325,0
326,1
348,1
361,1
400,1
411,1
418,0
421,1
437,1
438,1
449,0
451,0
461,1
464,1
471,1
474,1
477,1
485,1
502,1
509,1
519,1
528,0
536,1
546,0
554,0
567,1
577,1
579,1
582,1
589,1
592,1
593,1
615,1
622,1
644,1
651,1
658,1
659,1
661,1
683,1
702,1
703,1
709,1
712,1
727,0
744,1
751,1
768,1
772,1
818,0
820,0
823,0
828,1
838,1
843,0
852,1
857,1
859,1
865,1
883,1
885,1
886,1
892,1
924,1
929,1
937,1
960,1
965,1
970,0
981,1
1001,1
1007,1
1024,1
1028,1
1046,1
